from,to,time,,,,,,,
phx,mrs,1786,,,,,,,
phx,dh,1786,,,,,,,
phx,cta,1786,,,,,,,
phx,sag,1786,,,,,,,
phx,sha,1787,,,,,,,
phx,cgh,1788,,,,,,,
phx,sto,1791,,,,,,,
phx,kge,1791,,,,,,,
phx,cb,1792,,,,,,,
hln,cta,1801,,,,,,,
hln,kge,1801,,,,,,,
hln,bc,1801,,,,,,,
hln,sha,1801,,,,,,,
hln,bmb,1802,,,,,,,
hln,bng,1802,,,,,,,
hln,knk,1802,,,,,,,
hln,bc,1802,,,,,,,
eom,kge,1800,,,,,,,
eom,st,1800,,,,,,,
eom,sha,1800,,,,,,,
lbg,mrs,1800,,,,,,,
lbg,dh,1800,,,,,,,
lbg,kge,1800,,,,,,,
lbg,sag,1800,,,,,,,
lbg,sha,1800,,,,,,,
lbg,mrs,1802,,,,,,,
lbg,bng,1802,,,,,,,
lbg,dh,1802,,,,,,,
lbg,sag,1803,,,,,,,
lbg,sha,1803,,,,,,,
lbg,sha,1804,,,,,,,
lbg,bng,1804,,,,,,,
lbg,kge,1804,,,,,,,
lbg,sag,1805,,,,,,,
lbg,sha,1805,,,,,,,
lnn,mrs,1800,,,,,,,
lnn,pag,1800,,,,,,,
lnn,mlc,1800,,,,,,,
lnn,waa,1800,,,,,,,
lnn,sha,1801,,,,,,,
lnn,dh,1804,,,,,,,
lnn,sag,1805,,,,,,,
lnn,mrs,1805,,,,,,,
lnn,sha,1805,,,,,,,
sad,cgh,1799,,,,,,,
chn,mrs,1799,,,,,,,
chn,dh,1799,,,,,,,
chn,sag,1800,,,,,,,
chn,sha,1800,,,,,,,
chn,mrs,1801,,,,,,,
chn,dh,1801,,,,,,,
chn,sag,1801,,,,,,,
chn,vzg,1802,,,,,,,
chn,kkd,1802,,,,,,,
chn,nsp,1802,,,,,,,
chn,dh,1803,,,,,,,
chn,sha,1804,,,,,,,
cen,kge,1800,,,,,,,
cen,sag,1801,,,,,,,
cen,vzg,1801,,,,,,,
cen,cgh,1801,,,,,,,
cen,sha,1801,,,,,,,
cen,cgh,1802,,,,,,,
cen,mrs,1803,,,,,,,
cen,sha,1803,,,,,,,
esv,mrs,1800,,,,,,,
esv,waa,1800,,,,,,,
esv,sha,1801,,,,,,,
esv,bmb,1802,,,,,,,
esv,anj,1802,,,,,,,
esv,tcy,1803,,,,,,,
esv,sha,1803,,,,,,,
esv,bmb,1804,,,,,,,
esv,cnn,1804,,,,,,,
esv,svd,1804,,,,,,,
esv,knk,1804,,,,,,,
esv,bmb,1804,,,,,,,
esv,tcy,1805,,,,,,,
esv,anj,1805,,,,,,,
esv,sha,1805,,,,,,,
wlm,mrs,1800,,,,,,,
wlm,pag,1800,,,,,,,
wlm,mlc,1800,,,,,,,
wlm,waa,1800,,,,,,,
wlm,sha,1801,,,,,,,
wlm,mrs,1802,,,,,,,
wlm,dh,1802,,,,,,,
wlm,sag,1802,,,,,,,
wlm,sha,1803,,,,,,,
wlm,colo,1804,,,,,,,
wlm,pdg,1804,,,,,,,
wlm,ccc,1804,,,,,,,
wlm,srt,1804,,,,,,,
wlm,bmb,1804,,,,,,,
wlm,tcy,1805,,,,,,,
wlm,anj,1805,,,,,,,
wlm,pdg,1805,,,,,,,
wlm,sha,1805,,,,,,,
hhl,sha,1800,,,,,,,
hhl,waa,1801,,,,,,,
hhl,sha,1801,,,,,,,
hhl,mrs,1803,,,,,,,
hhl,dh,1803,,,,,,,
hhl,sag,1804,,,,,,,
hhl,bng,1804,,,,,,,
hhl,pag,1804,,,,,,,
hhl,sha,1804,,,,,,,
arr,cgh,1801,,,,,,,
arr,cta,1802,,,,,,,
arr,sha,1802,,,,,,,
arr,cta,1805,,,,,,,
arr,mrs,1805,,,,,,,
atm,mrs,1801,,,,,,,
atm,bng,1801,,,,,,,
atm,cta,1801,,,,,,,
atm,kge,1801,,,,,,,
atm,cgh,1802,,,,,,,
bnl,kge,1800,,,,,,,
bnl,sag,1801,,,,,,,
bnl,sha,1801,,,,,,,
bnl,mrs,1802,,,,,,,
bnl,dh,1802,,,,,,,
bnl,sag,1802,,,,,,,
bnl,mrs,1802,,,,,,,
bnl,colo,1802,,,,,,,
bnl,sha,1803,,,,,,,
bnl,mrs,1804,,,,,,,
bnl,dh,1804,,,,,,,
fsp,cta,1797,,,,,,,
fsp,sag,1798,,,,,,,
fsp,cgh,1798,,,,,,,
fsp,sha,1798,,,,,,,
fsp,pj,1800,,,,,,,
fsp,mlc,1800,,,,,,,
fsp,pag,1800,,,,,,,
fsp,dh,1800,,,,,,,
fsp,cta,1800,,,,,,,
fsp,sag,1800,,,,,,,
fsp,sha,1801,,,,,,,
hped,waa,1798,,,,,,,
hped,sha,1798,,,,,,,
hped,pag,1799,,,,,,,
hped,waa,1800,,,,,,,
hped,sha,1800,,,,,,,
hoe,mrs,1801,,,,,,,
hoe,pag,1801,,,,,,,
hoe,waa,1801,,,,,,,
hoe,sha,1802,,,,,,,
hoe,waa,1803,,,,,,,
hoe,sha,1803,,,,,,,
inc,cta,1801,,,,,,,
inc,sha,1801,,,,,,,
inc,dh,1801,,,,,,,
whm,mrs,1800,,,,,,,
whm,rdj,1803,,,,,,,
whm,cgh,1802,,,,,,,
exm,bmb,1803,,,,,,,
exm,sha,1803,,,,,,,
exm,mda,1804,,,,,,,
exm,bmb,1804,,,,,,,
exm,tcy,1805,,,,,,,
exm,anj,1805,,,,,,,
fam,bng,1802,,,,,,,
fam,bc,1802,,,,,,,
fam,cta,1802,,,,,,,
fam,kge,1802,,,,,,,
fam,pag,1803,,,,,,,
fam,bc,1803,,,,,,,
fam,sha,1803,,,,,,,
fam,mrs,1804,,,,,,,
fam,bng,1804,,,,,,,
fame,mda,1804,,,,,,,
fam,mrs,1804,,,,,,,
fam,msp,1804,,,,,,,
fam,cta,1804,,,,,,,
fam,kge,1804,,,,,,,
fam,mrs,1805,,,,,,,
fam,sha,1805,,,,,,,
mcw,sha,1803,,,,,,,
mcw,sha,1804,,,,,,,
uk,mrs,1802,,,,,,,
uk,dh,1802,,,,,,,
uk,sag,1803,,,,,,,
uk,mrs,1803,,,,,,,
uk,sha,1803,,,,,,,
uk,ck,1803,,,,,,,
uk,mrs,1805,,,,,,,
uk,kge,1804,,,,,,,
uk,dh,1805,,,,,,,
uk,sag,1805,,,,,,,
uk,sha,1805,,,,,,,
ann,mda,1801,,,,,,,
ann,mrs,1802,,,,,,,
ann,cta,1802,,,,,,,
ann,kge,1802,,,,,,,
ann,sha,1802,,,,,,,
ann,mrs,1804,,,,,,,
ann,bmb,1804,,,,,,,
ann,sha,1804,,,,,,,
ann,ck,1805,,,,,,,
ann,mda,1805,,,,,,,
ann,fdn,1805,,,,,,,
mar,sag,1801,,,,,,,
mar,sha,1801,,,,,,,
dev,cgh,1802,,,,,,,
dev,mrs,1803,,,,,,,
dev,cta,1803,,,,,,,
dev,kge,1803,,,,,,,
dev,sag,1803,,,,,,,
dev,sha,1804,,,,,,,
dev,mda,1804,,,,,,,
dev,con,1805,,,,,,,
dev,bmb,1805,,,,,,,
dev,mrs,1805,,,,,,,
dsc,waa,1802,,,,,,,
dsc,sha,1803,,,,,,,
dsc,stc,1804,,,,,,,
dsc,bmb,1804,,,,,,,
dsc,mrs,1804,,,,,,,
moe,mrs,1802,,,,,,,
moe,msp,1802,,,,,,,
moe,vzg,1802,,,,,,,
